unnamed:_0,flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,ques_verbatim_text,loyalty_program_level,fleet_type_description,fleet_usage,response_group,sentiments,transformed_text
0,950,LHX,SFX,2022-09-01,Early & Ontime,Delayed,Atlantic,There was no salad dressing. The staff informed me that the flight did not receive any salad dressing for any of the meals.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,salad dress staff inform flight receiv salad dress meal
1,950,LHX,SFX,2022-09-01,Early & Ontime,Delayed,Atlantic,Not a choice.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,choic
2,1876,FLX,EWX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,
3,5469,SFX,SEX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,"Serving pretzels and cookies in first class was extremely disappointing. Really, a little thought from chef would go a long way.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,ERJ-175,Express,member,Neutral,serv pretzel cooki first class extrem disappoint realli littl thought chef would go long way
4,281,DEX,ANX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,More inflight selections to purchase for full meals.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX8,Mainline,member,Neutral,inflight select purchas full meal
5,1726,SFX,OGX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,Hot food options would be nice.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,hot food option would nice
6,929,LHX,ORX,2022-09-01,Early & Ontime,Early & Ontime,Atlantic,"Ok, better than most United flights I have been on.",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-300,Mainline,non-member,Neutral,ok better unit flight
7,2049,SJX,IAX,2022-09-01,Early & Ontime,Delayed,Latin,"I enjoy illy coffee, but the decaf instant was not all pleasant. Do not recommend using that brand for decaf.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,enjoy illi coffe decaf instant pleasant recommend use brand decaf
8,884,LHX,EWX,2022-09-02,Early & Ontime,Early & Ontime,Atlantic,I had a seltzer.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B767-300,Mainline,member,Neutral,seltzer
9,1282,OGX,LAX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,I thought a 3rd entree should be offered. no real dessert (a cookie) and vodka was a poor choice brand.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member,Neutral,thought 3rd entre offer real dessert cooki vodka poor choic brand
10,683,EWX,SFX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,Beef was too tough to cut or chew.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member,Neutral,beef tough cut chew
11,1635,MCX,IAX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,no.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,
12,2071,LAX,DEX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,Chicken sattar was dry and bland.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member,Neutral,chicken sattar dri bland
13,1827,SFX,DEX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,Grateful United has lemons for tea and coke. No other airline does!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-900,Mainline,member,Neutral,grate unit lemon tea coke airlin
14,1231,YVX,SFX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,Out of apple juice.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,appl juic
15,1650,SFX,CMX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,I would have preferred bottled water. Not a big deal as it was a red eye flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,would prefer bottl water big deal red eye flight
16,965,EWX,NAX,2022-09-02,Early & Ontime,Delayed,Atlantic,Having some fresh fruit options (just like apples or oranges or something) would be very nice. It is hard to get fresh fruits and veggies at the airport. Also having a small salad with the meal would be recommended over a noodle starter. Thank you!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-300,Mainline,non-member,Neutral,fresh fruit option like appl orang someth would nice hard get fresh fruit veggi airport also small salad meal would recommend noodl starter thank
17,1673,ORX,EWX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,Need kosher creamer.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-900,Mainline,member,Neutral,need kosher creamer
18,1667,SFX,EWX,2022-09-03,Early & Ontime,Delayed,Domestic,The chicken entree was a thai chicken noodle. The problem is thai food tends to contain peanuts and neither of the stewardesses knew if this entree contained peanuts which is important because my son has a peanut allergy.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,chicken entre thai chicken noodl problem thai food tend contain peanut neither stewardess knew entre contain peanut import son peanut allergi
19,1723,OGX,SFX,2022-09-03,Early & Ontime,Delayed,Domestic,,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,
20,1523,FLX,EWX,2022-09-03,Delayed,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,
21,1571,BZX,IAX,2022-09-03,Early & Ontime,Early & Ontime,Latin,,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,
22,494,CLX,IAX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,Short flight offered a cup of water which was nice.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-700,Mainline,member,Neutral,short flight offer cup water nice
23,982,DUX,ORX,2022-09-03,Delayed,Delayed,Atlantic,white wine had gone bad;. make sure they cork the bottles or empty them out between flights.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B757-200,Mainline,non-member,Neutral,white wine gone bad make sure cork bottl empti flight
24,4725,FCX,SFX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,Not many it any gluten intolerant options. So much bread and cookies that I could not eat.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member,Neutral,mani gluten intoler option much bread cooki could eat
25,1223,EWX,SJX,2022-09-03,Early & Ontime,Early & Ontime,Latin,Please improve the coffe.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,pleas improv coff
26,301,SFX,HNX,2022-09-03,Early & Ontime,Delayed,Domestic,,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-200,Mainline,member,Neutral,
27,775,MCX,IAX,2022-09-03,Delayed,Early & Ontime,Domestic,No.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,
28,68,KOX,ORX,2022-09-03,Delayed,Delayed,Domestic,That was by far the best food I have ever had on a flight!. I have flown to Africa and back many times and never had a meal as delicious as that!.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-10,Mainline,non-member,Neutral,far best food ever flight flown africa back mani time never meal delici
29,364,EWX,HNX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,Breakfast was good as well.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,breakfast good well
30,2099,IAX,MCX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,
31,5,LHX,IAX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,Quality of the meal was fair at best.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member,Neutral,qualiti meal fair best
32,5,LHX,IAX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,"Unusually the in flight food was quite satisfying and tasty, could have been a little bigger…especially the ice cream given as dessert. But on a whole very good all round.",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-9,Mainline,non-member,Neutral,unusu flight food quit satisfi tasti could littl ice cream given dessert whole good round
33,122,BCX,EWX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,The burger for the lunch meal did not taste that great. Especially for a first class meal a heated up burger was lacking compared to ticket price. The only other feedback is the amount of times someone came with the beverage cart compared to other airlines. Other airlines it was more frequent.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B777-200,Mainline,member,Neutral,burger lunch meal tast great especi first class meal heat burger lack compar ticket price feedback amount time someon came beverag cart compar airlin airlin frequent
34,13,ZRX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,Food quality probably was not up to par with Polaris cabin.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B767-300,Mainline,member,Neutral,food qualiti probabl par polari cabin
35,13,ZRX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,Please provide more range of vegetarian food.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-300,Mainline,non-member,Neutral,pleas provid rang vegetarian food
36,725,HNX,SFX,2022-09-04,Early & Ontime,Delayed,Domestic,"on our return flight we were asked to choose either a cookie or pretzels, on our outbound flight we were given both, it should have been consistent.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,return flight ask choos either cooki pretzel outbound flight given consist
37,5041,DEX,LBX,2022-09-03,Delayed,Early & Ontime,Domestic,"on the other flight, I appreciated the Illy coffee.",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,CRJ-200,Express,non-member,Neutral,flight appreci illi coffe
38,1901,COX,DEX,2022-09-05,Delayed,Early & Ontime,Domestic,It is a really short flight. they did not even offer us water.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,realli short flight even offer us water
39,1950,IAX,CLX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,Flight ran out of cookies and being towards the back of the plane I had to opt for pretzels.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,flight ran cooki toward back plane opt pretzel
40,220,ORX,HNX,2022-09-05,Early & Ontime,Delayed,Domestic,Very impressed with the quality and quantity.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member,Neutral,impress qualiti quantiti
41,383,IAX,SAX,2022-09-05,Early & Ontime,Delayed,Domestic,We never got any food or beverages.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,never got food beverag
42,5572,SBX,SFX,2022-09-05,Early & Ontime,Delayed,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-175,Express,member,Neutral,
43,2110,PIX,DEX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,
44,2110,PIX,DEX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,
45,1888,DEX,BDX,2022-09-05,Delayed,Delayed,Domestic,I would like a bottle of water.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,would like bottl water
46,555,EWX,DFX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,no.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,
47,1223,EWX,SJX,2022-09-05,Early & Ontime,Early & Ontime,Latin,I was charged me so much for a short trip. the options for beverage were Coke or water. How cheap this company has became!.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,charg much short trip option beverag coke water cheap compani becam
48,1040,AUX,EWX,2022-09-04,Delayed,Early & Ontime,Latin,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,
49,2629,PHX,IAX,2022-09-06,Early & Ontime,Early & Ontime,Domestic,Please add a diet caffeine free soda such as Sprite Zero or diet ginger ale. We had breakfast as we were in business. The breakfast was great!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,pleas add diet caffein free soda sprite zero diet ginger ale breakfast busi breakfast great
50,871,SYX,SFX,2022-09-06,Early & Ontime,Delayed,Pacific,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-300,Mainline,non-member,Neutral,
51,617,ORX,DCX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A320-200,Mainline,member,Neutral,
